,08/28/23 00:00:00,08/28/23 00:15:00,08/28/23 00:30:00,08/28/23 00:45:00,08/28/23 01:00:00,08/28/23 01:15:00,08/28/23 01:30:00,08/28/23 01:45:00,08/28/23 02:00:00,08/28/23 02:15:00,08/28/23 02:30:00,08/28/23 02:45:00,08/28/23 03:00:00,08/28/23 03:15:00,08/28/23 03:30:00,08/28/23 03:45:00,08/28/23 04:00:00,08/28/23 04:15:00,08/28/23 04:30:00,08/28/23 04:45:00,08/28/23 05:00:00,08/28/23 05:15:00,08/28/23 05:30:00,08/28/23 05:45:00,08/28/23 06:00:00,08/28/23 06:15:00,08/28/23 06:30:00,08/28/23 06:45:00,08/28/23 07:00:00,08/28/23 07:15:00,08/28/23 07:30:00,08/28/23 07:45:00,08/28/23 08:00:00,08/28/23 08:15:00,08/28/23 08:30:00,08/28/23 08:45:00,08/28/23 09:00:00,08/28/23 09:15:00,08/28/23 09:30:00,08/28/23 09:45:00,08/28/23 10:00:00,08/28/23 10:15:00,08/28/23 10:30:00,08/28/23 10:45:00,08/28/23 11:00:00,08/28/23 11:15:00,08/28/23 11:30:00,08/28/23 11:45:00,08/28/23 12:00:00,08/28/23 12:15:00,08/28/23 12:30:00,08/28/23 12:45:00,08/28/23 13:00:00,08/28/23 13:15:00,08/28/23 13:30:00,08/28/23 13:45:00,08/28/23 14:00:00,08/28/23 14:15:00,08/28/23 14:30:00,08/28/23 14:45:00,08/28/23 15:00:00,08/28/23 15:15:00,08/28/23 15:30:00,08/28/23 15:45:00,08/28/23 16:00:00,08/28/23 16:15:00,08/28/23 16:30:00,08/28/23 16:45:00,08/28/23 17:00:00,08/28/23 17:15:00,08/28/23 17:30:00,08/28/23 17:45:00,08/28/23 18:00:00,08/28/23 18:15:00,08/28/23 18:30:00,08/28/23 18:45:00,08/28/23 19:00:00,08/28/23 19:15:00,08/28/23 19:30:00,08/28/23 19:45:00,08/28/23 20:00:00,08/28/23 20:15:00,08/28/23 20:30:00,08/28/23 20:45:00,08/28/23 21:00:00,08/28/23 21:15:00,08/28/23 21:30:00,08/28/23 21:45:00,08/28/23 22:00:00,08/28/23 22:15:00,08/28/23 22:30:00,08/28/23 22:45:00,08/28/23 23:00:00,08/28/23 23:15:00,08/28/23 23:30:00,08/28/23 23:45:00,08/29/23 00:00:00
max_amp,0.0009606449455531053,0.001656948368227198,0.0012295281216519603,0.001904115140831663,0.0015699071750025536,0.0016834227256197103,0.0012457717460765073,0.001456183808897583,0.0014940497555875135,0.0011731560982090798,0.0010847456039326073,0.0012825272974533407,0.0009012312688898123,0.0011316284232412246,0.0014522232906578397,0.0014107881599637472,0.0009626030976828559,0.0014428686203143018,0.0011544958219486263,0.0014028942630468508,0.0011952931514434516,0.0017143408291470648,0.0017697914768275516,0.0013615985735803196,0.001284312749891176,0.0008916384463836433,0.001453931337825405,0.0012781235815518999,0.0011975768061369913,0.0009778779541047358,0.0015378851448352919,0.0020212901013058403,0.0013750392996106468,0.0017841165157680818,0.0011236008678644773,0.001341368937212034,0.001036168908163421,0.0015932765959919561,0.0014438571006036565,0.000886171598734897,0.0013905419018629232,0.0013727592231566794,0.0013900389462893428,0.0017626678902074573,0.0018154402382961833,0.00110989251719876,0.0010942707716660315,0.0016977154724055904,0.0013129684221129887,0.021282733338222008,0.009699060769378707,0.01005187781177737,0.008955462459093103,0.006916256707924255,0.011629010194556864,0.007385569921992204,0.0076920188303758845,0.008161323249488588,0.009608298412905412,0.006718582238996498,0.005001568957098933,0.004362323500863677,0.005596339177372427,0.00456762930840144,0.002811162442471741,0.0027055501412229137,0.0030583179433511963,0.002794539885097928,0.002648485888166828,0.0026685090922123574,0.001527338248431324,0.0017064571182703993,0.0015081261924300077,0.001971827463394903,0.002500635810889756,0.001801716356954752,0.0021871053665134203,0.002754286039643009,0.0019755607222689485,0.001394462716885274,0.002822288852912737,0.0017054373092604558,0.0018870249797817784,0.002110483303149112,0.0017523964421451539,0.00164121561276101,0.0015826844900748958,0.0015349380028732884,0.001925127307892336,0.0015010446374918455,0.0013194963458493388,0.00188268632151913,0.001779930632521282,0.0013202946877219658,0.0017931819808785817,0.0018320812994318,0.001356432619802361
mean_amp,0.0005837070710064628,0.0011365537379763415,0.0008432366798142882,0.0009688954896862393,0.000956801404122437,0.001080391231677003,0.0008309714698882294,0.0010065061104560626,0.0009717519937706641,0.0007490476709033518,0.000757775224521498,0.0007551330659844446,0.0006475959506915531,0.0006512049090715114,0.0009397407871703522,0.0008566046184161419,0.0005379753900813365,0.0009897872397878434,0.0007445374704985321,0.000841366909638407,0.000844003594912514,0.0010469547667180514,0.001157615393493353,0.0009621085141941331,0.0007138859015194387,0.0006153959565379961,0.0008757477269002912,0.0008399067646096916,0.0006394735182581499,0.0005640563207721573,0.0007264333635718805,0.0011660268186385885,0.0009021961148939462,0.0010946919620706968,0.0006741192619526176,0.0008187111301563771,0.0006652076316586032,0.001062791634555399,0.0008636305693282038,0.0006179496282423311,0.0008510909545647678,0.0008629495388466009,0.0010637854659867408,0.0011128588863955438,0.001149340930391908,0.0008085455775371372,0.0008166319939639507,0.001119260237009702,0.000773802233991467,0.01348915635350125,0.006917135772940193,0.006139215017975709,0.005731564465390313,0.004718786797477355,0.009210715409250614,0.0048715826742660754,0.005893239899723295,0.005585373578160908,0.007251709050630029,0.004975404996793127,0.003455499169635366,0.0029702745554024924,0.004044244241580703,0.0029113852626365473,0.001965076373355341,0.0015683279885966878,0.0021792116441913395,0.0019037372157571712,0.0018604154385917812,0.0016875224305702094,0.001076440907752036,0.001200713921024585,0.0010478162698594052,0.001311140327925516,0.0016095270031391573,0.0013665941709800663,0.001534362589688761,0.0018114822329069907,0.0014423741605937678,0.0009800827343162846,0.0018016430718540974,0.0012175479498320763,0.00120426816429437,0.0012364074137664256,0.0011865848432415268,0.0010445741434911315,0.0010786691832817695,0.0008539874248472926,0.0009635455832735425,0.0008775277769711555,0.0007404000145258316,0.0011286865254441917,0.001109491493373297,0.0009201789285457335,0.0008931010549438541,0.001087069590475652,0.000923438048366114
median_amp,0.0005626698380337034,0.0011070138608522302,0.0008240692762098019,0.0009192807986448609,0.000941246291439623,0.0010630498349851179,0.0008295145638700952,0.0009798978599763557,0.0009689561357072127,0.0007391976028969369,0.0007479071951196918,0.0007287310924233686,0.0006373049933683782,0.0006156379691764861,0.0009218851843857345,0.0008570569066935906,0.0005111513296548254,0.0009671466415571556,0.0007194522852471554,0.0008306936258517575,0.0008237421973247779,0.0010219574349211516,0.0011431530072840337,0.0009583557413279062,0.0006761753376122961,0.0006202329313975893,0.0008654666901124601,0.000805223022124532,0.000628871455176535,0.0005451142323768456,0.0007039717162752926,0.001126606811679951,0.0008644466177187465,0.0010142562132036985,0.0006312370222802347,0.0008031835386188225,0.0006435474874313906,0.001069420136289217,0.0008369708871285746,0.0005990613457493952,0.0008504684291234254,0.0008378656768319358,0.0010755897379948424,0.0011119908841116892,0.001119905108103492,0.0008120654416415678,0.0008168362497274037,0.0011078425290052525,0.0007425645567860407,0.0131430110663012,0.006842297402196447,0.00589793471417412,0.005711367956167321,0.004587802946506826,0.009132515823652926,0.004717011939994539,0.005803911694288797,0.005473356308301274,0.007122945570631113,0.004916504494316919,0.0034021447059220363,0.002901538403475512,0.004052580058979744,0.0028957436316494212,0.0019224629734797337,0.0014905511151482795,0.0021796280530273077,0.001857627960952097,0.0018025629639517938,0.0016263033651072927,0.0010706728875189584,0.0011701057632102013,0.0010362222093321508,0.0012703399597350645,0.0015980188024349675,0.001377436234702128,0.0015196616075458295,0.001770954270538578,0.001389090041413593,0.0009499421998501251,0.0017614937937486105,0.0012088493257343454,0.0011825486489742288,0.0012125911956266172,0.0011755956465228313,0.0010360769716963483,0.0010567025015865844,0.0008371995151667344,0.0009445907691077531,0.0008736591773668436,0.0007061931349054624,0.0010942017003189235,0.001119520869296471,0.0008926436368370961,0.0008473341434442252,0.0010628109447209874,0.0009267835372618194
impulses_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,5,3,2,1,25,6,1,3,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulses_ch3,0,2,0,1,0,3,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,8,3,1,0,0,1,0,0,0,2,6,2,0,0,1,0,2,0,0,1,1,1,3,1,1,1,3,0,2483,463,316,247,165,895,147,270,226,517,165,58,46,117,40,14,7,11,12,3,6,0,0,1,2,12,6,7,5,2,0,6,4,3,2,0,0,2,1,1,1,1,1,2,3,6,5,1
impulses_ch2,42,216,117,168,168,209,125,173,184,70,88,99,61,61,146,118,37,161,87,111,105,219,275,147,67,46,140,119,49,39,105,254,159,201,62,91,52,217,122,43,123,124,227,253,261,98,87,237,104,15492,10082,7928,7115,4888,13618,5421,7456,7160,9828,5938,2692,1837,3661,1855,713,389,1062,720,642,537,155,219,163,272,473,297,347,538,313,105,510,205,184,246,185,122,127,68,122,117,59,187,185,141,85,201,138
impulses_ch1,1103,3754,2081,2605,2747,3159,2182,3199,2887,1655,1766,1730,1341,1339,2735,2155,838,2721,1682,2136,2167,3053,3619,2585,1673,1302,2307,2168,1234,1017,1674,3733,2443,3339,1395,2146,1543,3157,2103,1175,2086,2325,3145,3379,3514,2159,2174,3461,1914,9155,15838,16755,17492,18600,13090,18430,17231,17923,15513,18231,18038,17104,18828,16809,11724,8480,13937,11086,10331,8521,4051,4926,3434,5073,6854,5353,5617,7243,5384,2392,7033,3838,3976,3838,3702,2974,3228,1985,2403,2088,1502,3336,3064,2162,2045,2947,2124
max_env_ch6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
