,05/01/23 05:00:00,05/01/23 05:15:00,05/01/23 05:30:00,05/01/23 05:45:00,05/01/23 06:00:00,05/01/23 06:15:00,05/01/23 06:30:00,05/01/23 06:45:00,05/01/23 07:00:00,05/01/23 07:15:00,05/01/23 07:30:00,05/01/23 07:45:00,05/01/23 08:00:00,05/01/23 08:15:00,05/01/23 08:30:00,05/01/23 08:45:00,05/01/23 09:00:00,05/01/23 09:15:00,05/01/23 09:30:00,05/01/23 09:45:00,05/01/23 10:00:00,05/01/23 10:15:00,05/01/23 10:30:00,05/01/23 10:45:00,05/01/23 11:00:00,05/01/23 11:15:00,05/01/23 11:30:00,05/01/23 11:45:00,05/01/23 12:00:00,05/01/23 12:15:00,05/01/23 12:30:00,05/01/23 12:45:00,05/01/23 13:00:00,05/01/23 13:15:00,05/01/23 13:30:00,05/01/23 13:45:00,05/01/23 14:00:00,05/01/23 14:15:00,05/01/23 14:30:00,05/01/23 14:45:00,05/01/23 15:00:00,05/01/23 15:15:00,05/01/23 15:30:00,05/01/23 15:45:00,05/01/23 17:00:00,05/01/23 17:15:00,05/01/23 17:30:00,05/01/23 17:45:00,05/01/23 18:00:00,05/01/23 18:15:00,05/01/23 18:30:00,05/01/23 18:45:00,05/01/23 19:00:00,05/01/23 19:15:00,05/01/23 19:30:00,05/01/23 19:45:00,05/01/23 20:00:00,05/01/23 20:15:00,05/01/23 20:30:00,05/01/23 20:45:00,05/01/23 21:00:00,05/01/23 21:15:00,05/01/23 21:30:00,05/01/23 21:45:00,05/01/23 22:00:00,05/01/23 22:15:00,05/01/23 22:30:00,05/01/23 22:45:00,05/01/23 23:00:00,05/01/23 23:15:00,05/01/23 23:30:00,05/01/23 23:45:00,05/02/23 00:00:00,05/02/23 00:15:00,05/02/23 00:30:00,05/02/23 00:45:00,05/02/23 01:00:00,05/02/23 01:15:00,05/02/23 01:30:00,05/02/23 01:45:00,05/02/23 02:00:00,05/02/23 02:15:00,05/02/23 02:30:00,05/02/23 02:45:00,05/02/23 03:00:00,05/02/23 03:15:00,05/02/23 03:30:00,05/02/23 03:45:00,05/02/23 04:00:00,05/02/23 04:15:00,05/02/23 04:30:00,05/02/23 04:45:00,05/02/23 05:00:00,05/02/23 05:15:00,05/02/23 05:30:00,05/02/23 05:45:00,05/02/23 06:00:00,05/02/23 06:15:00,05/02/23 06:30:00,05/02/23 06:45:00,05/02/23 07:00:00,05/02/23 07:15:00,05/02/23 07:30:00,05/02/23 07:45:00,05/02/23 08:00:00,05/02/23 08:15:00,05/02/23 08:30:00,05/02/23 08:45:00,05/02/23 09:00:00,05/02/23 09:15:00,05/02/23 09:30:00,05/02/23 09:45:00,05/02/23 10:00:00,05/02/23 10:15:00,05/02/23 10:30:00,05/02/23 10:45:00,05/02/23 11:00:00,05/02/23 11:15:00,05/02/23 11:30:00,05/02/23 11:45:00,05/02/23 12:00:00,05/02/23 12:15:00,05/02/23 12:30:00,05/02/23 12:45:00,05/02/23 13:00:00,05/02/23 13:15:00,05/02/23 13:30:00,05/02/23 13:45:00,05/02/23 14:00:00,05/02/23 14:15:00,05/02/23 14:30:00,05/02/23 14:45:00,05/02/23 15:00:00,05/02/23 15:15:00,05/02/23 15:30:00,05/02/23 15:45:00,05/02/23 16:00:00,05/02/23 16:15:00,05/02/23 16:30:00,05/02/23 16:45:00,05/02/23 17:00:00,05/02/23 17:15:00,05/02/23 17:30:00,05/02/23 17:45:00,05/02/23 18:00:00,05/02/23 18:15:00,05/02/23 18:30:00,05/02/23 18:45:00,05/02/23 19:00:00,05/02/23 19:15:00,05/02/23 19:30:00,05/02/23 19:45:00,05/02/23 20:00:00
max_amp,0.0026858181151651825,0.002398406332496168,0.0020593681410898622,0.0021139124116385907,0.0020569428001627416,0.0021996722580512515,0.0021757081024736395,0.0022669645547845406,0.0022936869367689225,0.0023547821775733693,0.002083764786392353,0.0020040542035412094,0.002251314261825635,0.002333260085973217,0.002068059328261643,0.002294518928189985,0.0024934068693943873,0.002396491947230147,0.0021051445954076266,0.002422730980781704,0.0022477933023272354,0.002065666335982552,0.0021105076532189856,0.0019439762774560404,0.002027342554955878,0.002148287423510318,0.0020281067021691115,0.002144519351606886,0.0020948358215291747,0.0020966829094037063,0.0023029425716590613,0.0020909945437214,0.002011817298215907,0.002217119528333387,0.0021409752715209397,0.0021939897279319347,0.002286112438435094,0.0023861633415523126,0.0023013309080772075,0.00259118446651477,0.0026127062903037904,0.0024794250879511264,0.0027288296949610027,0.0025525012248661014,0.0024645616665302677,0.002520811898716227,0.0025207738388498806,0.0026260044326749327,0.002684240855605525,0.0027196630213916317,0.0027084474673715092,0.0026623882346638343,0.0027753081279224276,0.0027074607220456915,0.002506200342952639,0.0024948186777985987,0.0026396664100941953,0.0026216469439594614,0.0025712787306427076,0.002757854494579592,0.0027911357007006747,0.0028999946176810902,0.002864723741422103,0.0026709379354319684,0.0037353366468436885,0.0038099539952451806,0.0041011295503411895,0.0037063637036938977,0.003752073093709798,0.0037626918024717656,0.0039071017735328424,0.0037766026025209025,0.004107797381396759,0.003818592890828942,0.003999657822230828,0.003570169019637526,0.003459600643268955,0.003690379265277395,0.0035322739139503276,0.0034246468230221833,0.0036123573333852097,0.0035887705983050316,0.003694328946606562,0.0036169728795397006,0.0037194312863580202,0.0037868788135371027,0.0034230342343964854,0.003577356796006366,0.0036253956478317596,0.0038876535749294313,0.003729621198802412,0.0034556896523378366,0.003762661348875726,0.0036406272134017507,0.0034736845108834995,0.003347843113290499,0.003386608750684936,0.003391979378402866,0.003240414521942517,0.003204592770682926,0.003538771440899783,0.0030171457495148076,0.0034368269191677805,0.0033338252480275307,0.0034110899928615906,0.0033274185189083065,0.003594249387934896,0.0033245239182792315,0.003277695797704041,0.003542928448248024,0.0035913336608345754,0.0033067826740011646,0.0033672215802348013,0.0033519464281433877,0.0031033609155538644,0.0032951019281963396,0.003455195881785712,0.0030729042270789576,0.003107865171782766,0.003447664193179875,0.003413908548456794,0.0031440941092199283,0.0033183374258494666,0.003254780945716407,0.0035701165469087413,0.003250578805044805,0.0034971307421648233,0.0034248502958762026,0.0033937789991102954,0.003557315948135133,0.0032987604977638414,0.003630698608503573,0.003332465269991962,0.0035987229945708696,0.003930438876446707,0.0037898729320841986,0.004037242556660654,0.003742088438988437,0.0037284209261887686,0.003808714577591771,0.003788161914262081,0.0036137407196480263,0.0035269727330097624,0.003933972340565633,0.0038492175490451156,0.004152286463039186,0.003635592437258355,0.003994330612027184,0.0038350129418434804,0.0036692655051298343,0.003677400922217953,0.0037481799488040804,0.003713360223718368
mean_amp,0.002077688603192228,0.0018583124583010215,0.0017181486352893496,0.0017440814496720788,0.0017607640095839146,0.001753217579107183,0.0017871510485169266,0.001759161761693272,0.0018822982439611535,0.0018553861157258689,0.0017529552143600844,0.0016669175082541004,0.0016993414725043033,0.0017186219337683615,0.0017281167049343668,0.0017562276891967417,0.0017187846671519592,0.0018016700504768655,0.0017649695470979396,0.0017185339149290535,0.001812093621034774,0.0017280088529177235,0.001771923254221663,0.001636596023948724,0.0016808295446320376,0.0017349306217986778,0.00164776925902179,0.0016722304162563515,0.001733364940793547,0.0017685186715736452,0.0017002507289579215,0.0016843888491400885,0.001692118016289949,0.0018170681487760891,0.0018495223536276056,0.0018976478256809018,0.0019370668570808055,0.0019322365219249758,0.0020009385407101263,0.002037998484954684,0.002045243756492151,0.0020769976536262934,0.0020677571371683543,0.002119875891184127,0.0021751144756914564,0.002200466411703462,0.002239886788096853,0.0022295947002007005,0.0022216946934536805,0.002210559455211529,0.002216617030395601,0.002200349402362999,0.0023170283654705085,0.0022005818505922347,0.0022476948364905107,0.0022588321811010032,0.0022690419654139518,0.0022173388818346952,0.002209301573113517,0.002312784757589998,0.0023618633251710477,0.0023637413944665986,0.0023478675141381453,0.002302106065273804,0.0031812834295566767,0.0031840536956795496,0.0032781547771581817,0.0031459516464871066,0.00317317778088476,0.003107287773454212,0.0031771961204230805,0.0030793388455464866,0.0030270472400324225,0.003080399339769463,0.0030924724439143686,0.0030125591773246746,0.0030333729290909273,0.0029742258744353896,0.002978453449931218,0.00293734093912323,0.0030286446026808202,0.003010378796295225,0.002983908169603462,0.0030308978383766657,0.0030681321073781245,0.0030086916252296415,0.0029554788715238315,0.002969051818981622,0.0030003359063306956,0.0029981297673035115,0.0029837263965824825,0.002933991693314863,0.0028774126950058556,0.0029492892574818313,0.0027567896078183806,0.0027060860182937453,0.0027180064541278883,0.002775354643847904,0.002672325206471528,0.002727610292463328,0.0027412928691469807,0.002591196423137469,0.0027810456315584386,0.002738124839360256,0.002737954616762207,0.0027638975127665744,0.0027565928246737355,0.002722575132170853,0.002702023772317949,0.0027785086576659315,0.0027412527561055102,0.0026804034219994124,0.0027477345591582947,0.0026840339574632777,0.002708860883909638,0.0026885957758379423,0.0028203801153246634,0.0026511601118614113,0.0026539748887624065,0.002712851670818326,0.0027105831877546655,0.0026861362385460696,0.0026500755206949264,0.0026477592078932868,0.0027206536811637486,0.002822089256008842,0.0027891924968374442,0.0027493053241219472,0.0027757662488290826,0.002827005598017673,0.002764251848864666,0.002849488809542273,0.0028445909867553243,0.0028817547333410114,0.0030865661359478565,0.0031069173122404035,0.0031712920902894457,0.0030682702650247913,0.003096145089899233,0.0031169713208780083,0.0031452922116088854,0.0030782397486318522,0.0029474645896986618,0.0031607523889802397,0.0031597324355850114,0.0031687150502967315,0.0030574459265489207,0.0030136629186503397,0.003085599967923678,0.0030927436564436345,0.0030628773309501157,0.0030164907384077912,0.0031560385767075063
median_amp,0.0020196080437349904,0.0018278361391874914,0.0017172758129736262,0.0017494446834167314,0.001736517244165336,0.0017658898125723099,0.001783655053789543,0.0017444931443591429,0.0018688838230908214,0.0018476771175104894,0.0017849816830900794,0.0016477044636016265,0.0016872474571763246,0.0016838872415523452,0.0017123113754412963,0.0017488526092282399,0.001708141125308007,0.0017695991389877468,0.0017688328949892387,0.0016783463009375217,0.0018172486120326369,0.0017402076612999403,0.0017887933768313301,0.0016243058026797698,0.0016655230455391767,0.0017449755552342496,0.0016366577888012389,0.0016677544908315807,0.0017367338616295627,0.0017664685136595517,0.001695898667915836,0.0016601029632746362,0.001693147551348767,0.0018118400106928157,0.0018394659375697256,0.0019119287470514945,0.0019528057574160072,0.0019417698909310961,0.001978495816345916,0.0020278711559749687,0.0020350355343728053,0.002077155559048196,0.002023042836237255,0.002086418579404494,0.0021681457108671627,0.00221533733143446,0.0022392152344413285,0.0022411642645058854,0.002208825124079379,0.002226636788554577,0.0021991137454502076,0.0022044399932062563,0.00228734820537524,0.002170748876311617,0.0022353468919128474,0.0022774915427684807,0.0022559164745208143,0.002186236693134138,0.0022175960526954973,0.002302034493768586,0.0023609589288951125,0.0023690730179353253,0.002352782627662306,0.0022901510974338386,0.0031846844045723553,0.0031443683739877087,0.003240933437745921,0.003090225608102257,0.0032156571836842963,0.0030954947643481705,0.0031656246486131655,0.003055886782960802,0.0030536633033533224,0.0030469568473710422,0.003087148190996295,0.002999354140060146,0.0030623505877905464,0.0029380614040028772,0.0029734265748963128,0.002950501238625339,0.003049136076468252,0.0030445648615050128,0.002980040402490272,0.003028453601256256,0.0030484282355009197,0.002985789622754058,0.0029671955431943182,0.0029691511244246127,0.0029778281302213195,0.0029900498194532082,0.0030037503019952286,0.002885107338732015,0.002880292405798822,0.0029262687151822564,0.002750459740798447,0.002714159980229729,0.0026857780322405204,0.00275809531479946,0.0026734427688083597,0.002753623062399975,0.0027148760152622114,0.0025579608999388255,0.0027621288115267442,0.0027188239152589866,0.0026832924369806083,0.0028016300491114678,0.0027207704941471815,0.0027094187536253356,0.002707077391631138,0.002747314223738125,0.0027365934523759135,0.0026764171569927074,0.0027302570579411335,0.0026647646354031477,0.0027293028598538386,0.0026494257522057182,0.00282189462435346,0.002650113143639485,0.0026463957206151593,0.002686569320477847,0.0026722435585078063,0.0027053273857095004,0.002646499661631804,0.002636864832279387,0.0027025409486403137,0.0028331456176320397,0.0027763512002881682,0.0027131038688239435,0.002773800070272896,0.002837927673686462,0.002754792853486345,0.0028334343601988075,0.0028602347640126514,0.0028374463119928226,0.0031173113243724397,0.003086415711337255,0.003156553077826957,0.0030532108509015955,0.003110916003676783,0.003051919782990733,0.0031264706632612898,0.0031090707358898367,0.0029756504484118778,0.003146233863391645,0.0031402036332443296,0.003164139565569768,0.0030452917782069584,0.0029744660182260195,0.0030729691392926374,0.003097560204454013,0.003025495992913372,0.002995109404156886,0.003117415811260814
impulses_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impulses_ch3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0
impulses_ch2,172.0,110.0,85.0,97.0,109.0,101.0,113.0,97.0,122.0,113.0,87.0,70.0,71.0,91.0,71.0,91.0,91.0,107.0,112.0,91.0,114.0,108.0,105.0,78.0,88.0,117.0,96.0,81.0,100.0,107.0,101.0,107.0,85.0,96.0,125.0,141.0,141.0,147.0,148.0,158.0,178.0,172.0,173.0,192.0,150.0,188.0,218.0,214.0,201.0,201.0,212.0,214.0,246.0,211.0,212.0,247.0,232.0,203.0,235.0,280.0,258.0,273.0,275.0,235.0,1261.0,1298.0,1470.0,1222.0,1206.0,1183.0,1204.0,1048.0,1050.0,1106.0,1084.0,984.0,970.0,981.0,932.0,920.0,1063.0,1015.0,1000.0,1035.0,1067.0,976.0,894.0,907.0,998.0,1016.0,977.0,925.0,831.0,906.0,690.0,670.0,641.0,764.0,646.0,669.0,672.0,569.0,760.0,695.0,754.0,738.0,748.0,675.0,707.0,768.0,735.0,607.0,697.0,681.0,681.0,648.0,854.0,608.0,647.0,699.0,685.0,624.0,646.0,655.0,657.0,764.0,710.0,718.0,716.0,838.0,761.0,876.0,822.0,877.0,1136.0,1187.0,1173.0,1081.0,1153.0,1189.0,1236.0,1125.0,978.0,1273.0,1230.0,1275.0,1086.0,1014.0,1117.0,1112.0,1112.0,1008.0,1195.0
impulses_ch1,9970.0,9407.0,8774.0,8918.0,8664.0,8623.0,8828.0,8758.0,9157.0,9054.0,8566.0,8590.0,8359.0,8360.0,8311.0,8136.0,8335.0,8761.0,8575.0,8163.0,8704.0,8439.0,8667.0,8008.0,8532.0,8681.0,8214.0,8663.0,8651.0,8922.0,8754.0,8616.0,8667.0,9514.0,9549.0,10004.0,9843.0,10218.0,10373.0,10717.0,10695.0,10973.0,10836.0,11399.0,12118.0,11973.0,12016.0,12202.0,12232.0,12780.0,12688.0,12774.0,13003.0,13420.0,13426.0,13326.0,13493.0,13510.0,13492.0,13944.0,14037.0,14020.0,14120.0,14346.0,11901.0,11870.0,11953.0,11951.0,11812.0,12065.0,11768.0,11669.0,11734.0,11757.0,11651.0,11895.0,11848.0,11785.0,11914.0,11851.0,11703.0,12081.0,11679.0,11698.0,11873.0,11789.0,11756.0,11870.0,11687.0,11702.0,11769.0,11726.0,11671.0,11642.0,11690.0,11622.0,11343.0,11504.0,11657.0,11455.0,11344.0,11451.0,11542.0,11488.0,11611.0,11688.0,11620.0,11623.0,11693.0,11476.0,11594.0,11297.0,11764.0,11461.0,11494.0,11513.0,11517.0,11614.0,11637.0,11553.0,11490.0,11614.0,11663.0,11608.0,11367.0,11677.0,11645.0,11563.0,11675.0,11997.0,11856.0,11806.0,11899.0,12259.0,11915.0,12082.0,12068.0,12368.0,12380.0,12095.0,12232.0,12174.0,12426.0,12235.0,12151.0,12378.0,12377.0,12216.0,12314.0,12440.0,12395.0,12124.0,12299.0
max_env_ch6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
